date,tmax,tmin
1981-12-16,33.0,20.0
1982-12-16,39.0,23.0
1983-12-16,44.0,21.0
1984-12-16,27.0,22.0
1985-12-16,38.0,23.0
1986-12-16,32.0,18.0
1987-12-16,49.0,22.0
1988-12-16,39.0,16.0
1989-12-16,40.0,26.0
1990-12-16,39.0,22.0
1991-12-16,47.0,28.0
1992-12-16,43.0,20.0
1993-12-16,35.0,18.0
1994-12-16,28.0,12.0
1995-12-16,37.0,28.0
1996-12-16,40.0,30.0
1997-12-16,39.0,26.0
1998-12-16,54.0,30.0
1999-12-16,39.0,23.0
2000-12-16,40.0,20.0
2001-12-16,36.0,20.0
2002-12-16,36.0,23.0
2003-12-16,39.0,24.0
2004-12-16,37.0,28.0
2005-12-16,37.0,25.0
2006-12-16,39.0,21.0
2007-12-16,45.0,22.0
2008-12-16,41.0,25.0
2009-12-16,33.0,19.0
2010-12-16,36.0,17.0
2011-12-16,31.0,18.0
2012-12-16,34.0,29.0
