date,tmax,tmin
1981-10-23,53.0,33.0
1982-10-23,52.0,34.0
1983-10-23,64.0,36.0
1984-10-23,71.0,43.0
1985-10-23,76.0,43.0
1986-10-23,58.0,39.0
1987-10-23,62.0,37.0
1988-10-23,58.0,51.0
1989-10-23,66.0,52.0
1990-10-23,69.0,50.0
1991-10-23,64.0,44.0
1992-10-23,52.0,38.0
1993-10-23,62.0,38.0
1994-10-23,67.0,41.0
1995-10-23,66.0,59.0
1996-10-23,70.0,53.0
1997-10-23,61.0,50.0
1998-10-23,66.0,44.0
1999-10-23,61.0,45.0
2000-10-23,59.0,51.0
2001-10-23,65.0,50.0
2002-10-23,51.0,34.0
2003-10-23,62.0,36.0
2004-10-23,64.0,41.0
2005-10-23,70.0,39.0
2006-10-23,64.0,43.0
2007-10-23,62.0,45.0
2008-10-23,63.0,49.0
2009-10-23,70.0,48.0
2010-10-23,60.0,54.0
2011-10-23,59.0,49.0
2012-10-23,69.0,40.0
