date,tmax,tmin
1981-05-20,83.0,58.0
1982-05-20,94.0,58.0
1983-05-20,77.0,64.0
1984-05-20,78.0,61.0
1985-05-20,80.0,57.0
1986-05-20,83.0,55.0
1987-05-20,83.0,60.0
1988-05-20,83.0,57.0
1989-05-20,88.0,55.0
1990-05-20,80.0,59.0
1991-05-20,85.0,63.0
1992-05-20,90.0,61.0
1993-05-20,81.0,65.0
1994-05-20,80.0,65.0
1995-05-20,79.0,61.0
1996-05-20,85.0,60.0
1997-05-20,80.0,54.0
1998-05-20,81.0,64.0
1999-05-20,85.0,53.0
2000-05-20,79.0,55.0
2001-05-20,95.0,70.0
2002-05-20,85.0,64.0
2003-05-20,88.0,56.0
2004-05-20,80.0,58.0
2005-05-20,82.0,61.0
2006-05-20,71.0,63.0
2007-05-20,82.0,63.0
2008-05-20,81.0,58.0
2009-05-20,91.0,67.0
2010-05-20,95.0,60.0
2011-05-20,69.0,62.0
2012-05-20,84.0,66.0
