date,tmax,tmin
1981-08-26,89.0,60.0
1982-08-26,90.0,67.0
1983-08-26,80.0,66.0
1984-08-26,88.0,69.0
1985-08-26,82.0,70.0
1986-08-26,88.0,67.0
1987-08-26,82.0,69.0
1988-08-26,81.0,67.0
1989-08-26,79.0,71.0
1990-08-26,84.0,74.0
1991-08-26,87.0,75.0
1992-08-26,88.0,71.0
1993-08-26,88.0,67.0
1994-08-26,92.0,70.0
1995-08-26,87.0,73.0
1996-08-26,78.0,64.0
1997-08-26,90.0,72.0
1998-08-26,86.0,67.0
1999-08-26,88.0,69.0
2000-08-26,90.0,70.0
2001-08-26,86.0,67.0
2002-08-26,86.0,73.0
2003-08-26,86.0,73.0
2004-08-26,83.0,69.0
2005-08-26,86.0,69.0
2006-08-26,83.0,70.0
2007-08-26,84.0,68.0
2008-08-26,82.0,71.0
2009-08-26,87.0,73.0
2010-08-26,89.0,69.0
2011-08-26,81.0,69.0
2012-08-26,85.0,69.0
