date,tmax,tmin
1981-07-15,79.0,74.0
1982-07-15,87.0,67.0
1983-07-15,92.0,70.0
1984-07-15,92.0,67.0
1985-07-15,84.0,72.0
1986-07-15,86.0,69.0
1987-07-15,76.0,67.0
1988-07-15,88.0,74.0
1989-07-15,87.0,73.0
1990-07-15,80.0,70.0
1991-07-15,86.0,76.0
1992-07-15,81.0,72.0
1993-07-15,88.0,73.0
1994-07-15,91.0,72.0
1995-07-15,89.0,69.0
1996-07-15,85.0,72.0
1997-07-15,95.0,75.0
1998-07-15,93.0,79.0
1999-07-15,92.0,72.0
2000-07-15,92.0,80.0
2001-07-15,94.0,71.0
2002-07-15,103.0,74.0
2003-07-15,91.0,69.0
2004-07-15,87.0,70.0
2005-07-15,85.0,69.0
2006-07-15,92.0,78.0
2007-07-15,82.0,74.0
2008-07-15,85.0,65.0
2009-07-15,95.0,74.0
2010-07-15,80.0,76.0
2011-07-15,84.0,71.0
2012-07-15,92.0,71.0
