date,tmax,tmin
1981-09-01,84.0,69.0
1982-09-01,77.0,70.0
1983-09-01,88.0,68.0
1984-09-01,83.0,67.0
1985-09-01,84.0,64.0
1986-09-01,78.0,66.0
1987-09-01,83.0,66.0
1988-09-01,80.0,67.0
1989-09-01,84.0,65.0
1990-09-01,91.0,65.0
1991-09-01,83.0,69.0
1992-09-01,85.0,71.0
1993-09-01,86.0,65.0
1994-09-01,86.0,75.0
1995-09-01,74.0,66.0
1996-09-01,87.0,71.0
1997-09-01,82.0,73.0
1998-09-01,81.0,62.0
1999-09-01,89.0,69.0
2000-09-01,90.0,69.0
2001-09-01,91.0,63.0
2002-09-01,95.0,73.0
2003-09-01,77.0,63.0
2004-09-01,89.0,70.0
2005-09-01,88.0,71.0
2006-09-01,86.0,69.0
2007-09-01,89.0,68.0
2008-09-01,88.0,60.0
2009-09-01,82.0,64.0
2010-09-01,82.0,69.0
2011-09-01,84.0,67.0
2012-09-01,86.0,75.0
