date,tmax,tmin
1981-04-10,74.0,51.0
1982-04-10,74.0,44.0
1983-04-10,68.0,49.0
1984-04-10,73.0,48.0
1985-04-10,68.0,39.0
1986-04-10,69.0,46.0
1987-04-10,59.0,36.0
1988-04-10,66.0,51.0
1989-04-10,69.0,40.0
1990-04-10,77.0,51.0
1991-04-10,60.0,54.0
1992-04-10,68.0,48.0
1993-04-10,58.0,36.0
1994-04-10,58.0,42.0
1995-04-10,56.0,43.0
1996-04-10,56.0,37.0
1997-04-10,74.0,44.0
1998-04-10,73.0,55.0
1999-04-10,70.0,44.0
2000-04-10,66.0,36.0
2001-04-10,57.0,43.0
2002-04-10,65.0,44.0
2003-04-10,48.0,43.0
2004-04-10,76.0,60.0
2005-04-10,65.0,40.0
2006-04-10,56.0,44.0
2007-04-10,65.0,45.0
2008-04-10,64.0,49.0
2009-04-10,76.0,57.0
2010-04-10,60.0,45.0
2011-04-10,72.0,53.0
2012-04-10,74.0,61.0
