date,tmax,tmin
1981-10-22,45.0,35.0
1982-10-22,59.0,45.0
1983-10-22,62.0,43.0
1984-10-22,75.0,41.0
1985-10-22,69.0,35.0
1986-10-22,58.0,35.0
1987-10-22,64.0,37.0
1988-10-22,70.0,44.0
1989-10-22,73.0,46.0
1990-10-22,64.0,58.0
1991-10-22,62.0,40.0
1992-10-22,57.0,41.0
1993-10-22,65.0,42.0
1994-10-22,74.0,44.0
1995-10-22,68.0,51.0
1996-10-22,62.0,52.0
1997-10-22,69.0,46.0
1998-10-22,69.0,53.0
1999-10-22,69.0,45.0
2000-10-22,56.0,50.0
2001-10-22,74.0,48.0
2002-10-22,53.0,33.0
2003-10-22,59.0,44.0
2004-10-22,67.0,42.0
2005-10-22,60.0,37.0
2006-10-22,66.0,51.0
2007-10-22,68.0,49.0
2008-10-22,66.0,61.0
2009-10-22,75.0,45.0
2010-10-22,58.0,52.0
2011-10-22,65.0,50.0
2012-10-22,64.0,45.0
