date,tmax,tmin
1981-11-16,51.0,30.0
1982-11-16,47.0,26.0
1983-11-16,36.0,27.0
1984-11-16,56.0,39.0
1985-11-16,43.0,32.0
1986-11-16,42.0,26.0
1987-11-16,51.0,35.0
1988-11-16,53.0,32.0
1989-11-16,47.0,24.0
1990-11-16,54.0,40.0
1991-11-16,55.0,32.0
1992-11-16,45.0,25.0
1993-11-16,47.0,33.0
1994-11-16,37.0,29.0
1995-11-16,63.0,38.0
1996-11-16,42.0,31.0
1997-11-16,36.0,26.0
1998-11-16,51.0,37.0
1999-11-16,42.0,25.0
2000-11-16,37.0,29.0
2001-11-16,58.0,29.0
2002-11-16,42.0,29.0
2003-11-16,47.0,31.0
2004-11-16,60.0,33.0
2005-11-16,49.0,30.0
2006-11-16,52.0,36.0
2007-11-16,45.0,23.0
2008-11-16,53.0,30.0
2009-11-16,33.0,24.0
2010-11-16,55.0,28.0
2011-11-16,52.0,37.0
2012-11-16,45.0,34.0
