date,tmax,tmin
1981-08-25,84.0,69.0
1982-08-25,86.0,67.0
1983-08-25,75.0,65.0
1984-08-25,87.0,62.0
1985-08-25,80.0,70.0
1986-08-25,88.0,60.0
1987-08-25,85.0,65.0
1988-08-25,83.0,65.0
1989-08-25,83.0,69.0
1990-08-25,91.0,72.0
1991-08-25,86.0,76.0
1992-08-25,89.0,65.0
1993-08-25,94.0,72.0
1994-08-25,92.0,69.0
1995-08-25,91.0,72.0
1996-08-25,75.0,60.0
1997-08-25,92.0,74.0
1998-08-25,91.0,66.0
1999-08-25,87.0,69.0
2000-08-25,89.0,73.0
2001-08-25,83.0,70.0
2002-08-25,87.0,69.0
2003-08-25,87.0,71.0
2004-08-25,78.0,70.0
2005-08-25,85.0,66.0
2006-08-25,85.0,71.0
2007-08-25,91.0,76.0
2008-08-25,87.0,71.0
2009-08-25,78.0,73.0
2010-08-25,86.0,65.0
2011-08-25,80.0,71.0
2012-08-25,84.0,65.0
