date,tmax,tmin
1981-03-12,63.0,37.0
1982-03-12,63.0,37.0
1983-03-12,42.0,30.0
1984-03-12,49.0,25.0
1985-03-12,53.0,25.0
1986-03-12,57.0,37.0
1987-03-12,41.0,33.0
1988-03-12,61.0,34.0
1989-03-12,69.0,42.0
1990-03-12,56.0,33.0
1991-03-12,44.0,28.0
1992-03-12,54.0,33.0
1993-03-12,56.0,33.0
1994-03-12,40.0,28.0
1995-03-12,54.0,32.0
1996-03-12,50.0,31.0
1997-03-12,48.0,39.0
1998-03-12,66.0,34.0
1999-03-12,40.0,34.0
2000-03-12,60.0,29.0
2001-03-12,61.0,27.0
2002-03-12,69.0,38.0
2003-03-12,47.0,30.0
2004-03-12,64.0,35.0
2005-03-12,42.0,26.0
2006-03-12,38.0,23.0
2007-03-12,53.0,30.0
2008-03-12,51.0,38.0
2009-03-12,55.0,41.0
2010-03-12,50.0,39.0
2011-03-12,63.0,38.0
2012-03-12,49.0,22.0
