date,tmax,tmin
1981-07-05,95.0,76.0
1982-07-05,83.0,66.0
1983-07-05,90.0,68.0
1984-07-05,95.0,72.0
1985-07-05,87.0,67.0
1986-07-05,80.0,66.0
1987-07-05,91.0,72.0
1988-07-05,75.0,65.0
1989-07-05,74.0,70.0
1990-07-05,88.0,68.0
1991-07-05,90.0,74.0
1992-07-05,94.0,76.0
1993-07-05,85.0,69.0
1994-07-05,95.0,78.0
1995-07-05,92.0,71.0
1996-07-05,88.0,71.0
1997-07-05,93.0,68.0
1998-07-05,87.0,76.0
1999-07-05,87.0,76.0
2000-07-05,84.0,72.0
2001-07-05,90.0,71.0
2002-07-05,93.0,69.0
2003-07-05,93.0,78.0
2004-07-05,93.0,67.0
2005-07-05,102.0,76.0
2006-07-05,94.0,74.0
2007-07-05,93.0,76.0
2008-07-05,81.0,72.0
2009-07-05,93.0,77.0
2010-07-05,105.0,77.0
2011-07-05,90.0,78.0
2012-07-05,81.0,72.0
