date,tmax,tmin
1981-10-18,59.0,48.0
1982-10-18,69.0,53.0
1983-10-18,52.0,42.0
1984-10-18,59.0,46.0
1985-10-18,62.0,36.0
1986-10-18,57.0,34.0
1987-10-18,61.0,45.0
1988-10-18,74.0,42.0
1989-10-18,60.0,41.0
1990-10-18,69.0,47.0
1991-10-18,66.0,42.0
1992-10-18,70.0,42.0
1993-10-18,72.0,43.0
1994-10-18,61.0,49.0
1995-10-18,69.0,54.0
1996-10-18,69.0,47.0
1997-10-18,79.0,45.0
1998-10-18,65.0,40.0
1999-10-18,70.0,39.0
2000-10-18,58.0,45.0
2001-10-18,63.0,42.0
2002-10-18,61.0,45.0
2003-10-18,68.0,47.0
2004-10-18,71.0,49.0
2005-10-18,67.0,43.0
2006-10-18,65.0,47.0
2007-10-18,61.0,53.0
2008-10-18,73.0,57.0
2009-10-18,67.0,46.0
2010-10-18,49.0,44.0
2011-10-18,69.0,46.0
2012-10-18,69.0,38.0
