date,tmax,tmin
1981-08-10,86.0,67.0
1982-08-10,88.0,72.0
1983-08-10,88.0,71.0
1984-08-10,90.0,71.0
1985-08-10,86.0,75.0
1986-08-10,88.0,63.0
1987-08-10,88.0,70.0
1988-08-10,89.0,78.0
1989-08-10,84.0,69.0
1990-08-10,84.0,63.0
1991-08-10,92.0,70.0
1992-08-10,86.0,76.0
1993-08-10,92.0,73.0
1994-08-10,88.0,74.0
1995-08-10,91.0,80.0
1996-08-10,80.0,69.0
1997-08-10,93.0,64.0
1998-08-10,89.0,74.0
1999-08-10,92.0,73.0
2000-08-10,88.0,77.0
2001-08-10,92.0,71.0
2002-08-10,86.0,65.0
2003-08-10,95.0,72.0
2004-08-10,88.0,79.0
2005-08-10,87.0,72.0
2006-08-10,86.0,78.0
2007-08-10,89.0,76.0
2008-08-10,88.0,74.0
2009-08-10,91.0,74.0
2010-08-10,91.0,78.0
2011-08-10,93.0,72.0
2012-08-10,91.0,74.0
