date,tmax,tmin
1981-03-30,52.0,39.0
1982-03-30,69.0,43.0
1983-03-30,67.0,42.0
1984-03-30,56.0,37.0
1985-03-30,60.0,31.0
1986-03-30,63.0,36.0
1987-03-30,46.0,34.0
1988-03-30,59.0,35.0
1989-03-30,69.0,53.0
1990-03-30,62.0,43.0
1991-03-30,47.0,30.0
1992-03-30,71.0,42.0
1993-03-30,60.0,45.0
1994-03-30,69.0,39.0
1995-03-30,66.0,41.0
1996-03-30,60.0,40.0
1997-03-30,56.0,37.0
1998-03-30,60.0,49.0
1999-03-30,54.0,43.0
2000-03-30,65.0,43.0
2001-03-30,53.0,32.0
2002-03-30,75.0,44.0
2003-03-30,70.0,47.0
2004-03-30,59.0,37.0
2005-03-30,78.0,40.0
2006-03-30,60.0,37.0
2007-03-30,47.0,44.0
2008-03-30,62.0,35.0
2009-03-30,49.0,34.0
2010-03-30,52.0,45.0
2011-03-30,73.0,41.0
2012-03-30,63.0,45.0
