date,tmax,tmin
1981-05-07,85.0,59.0
1982-05-07,74.0,58.0
1983-05-07,83.0,55.0
1984-05-07,95.0,59.0
1985-05-07,84.0,52.0
1986-05-07,96.0,57.0
1987-05-07,82.0,55.0
1988-05-07,78.0,55.0
1989-05-07,74.0,64.0
1990-05-07,75.0,56.0
1991-05-07,74.0,52.0
1992-05-07,77.0,55.0
1993-05-07,74.0,53.0
1994-05-07,85.0,57.0
1995-05-07,78.0,53.0
1996-05-07,70.0,56.0
1997-05-07,65.0,52.0
1998-05-07,78.0,61.0
1999-05-07,78.0,58.0
2000-05-07,89.0,52.0
2001-05-07,77.0,52.0
2002-05-07,74.0,51.0
2003-05-07,74.0,54.0
2004-05-07,74.0,55.0
2005-05-07,75.0,55.0
2006-05-07,81.0,58.0
2007-05-07,92.0,66.0
2008-05-07,74.0,62.0
2009-05-07,85.0,65.0
2010-05-07,83.0,61.0
2011-05-07,81.0,58.0
2012-05-07,81.0,65.0
