date,tmax,tmin
1981-09-23,75.0,67.0
1982-09-23,82.0,54.0
1983-09-23,81.0,61.0
1984-09-23,82.0,55.0
1985-09-23,60.0,52.0
1986-09-23,79.0,57.0
1987-09-23,80.0,65.0
1988-09-23,80.0,62.0
1989-09-23,65.0,60.0
1990-09-23,76.0,55.0
1991-09-23,80.0,59.0
1992-09-23,73.0,63.0
1993-09-23,84.0,53.0
1994-09-23,81.0,51.0
1995-09-23,73.0,59.0
1996-09-23,87.0,58.0
1997-09-23,78.0,49.0
1998-09-23,75.0,61.0
1999-09-23,73.0,49.0
2000-09-23,80.0,64.0
2001-09-23,75.0,59.0
2002-09-23,89.0,57.0
2003-09-23,76.0,60.0
2004-09-23,80.0,55.0
2005-09-23,75.0,58.0
2006-09-23,86.0,61.0
2007-09-23,84.0,59.0
2008-09-23,73.0,62.0
2009-09-23,80.0,56.0
2010-09-23,78.0,49.0
2011-09-23,79.0,57.0
2012-09-23,82.0,62.0
