date,tmax,tmin
1981-07-24,93.0,76.0
1982-07-24,80.0,68.0
1983-07-24,91.0,77.0
1984-07-24,94.0,75.0
1985-07-24,85.0,71.0
1986-07-24,85.0,68.0
1987-07-24,93.0,71.0
1988-07-24,79.0,74.0
1989-07-24,94.0,76.0
1990-07-24,99.0,79.0
1991-07-24,90.0,76.0
1992-07-24,85.0,71.0
1993-07-24,75.0,67.0
1994-07-24,87.0,76.0
1995-07-24,89.0,65.0
1996-07-24,89.0,71.0
1997-07-24,95.0,79.0
1998-07-24,86.0,69.0
1999-07-24,107.0,80.0
2000-07-24,99.0,77.0
2001-07-24,87.0,74.0
2002-07-24,90.0,70.0
2003-07-24,85.0,74.0
2004-07-24,89.0,77.0
2005-07-24,87.0,72.0
2006-07-24,84.0,67.0
2007-07-24,89.0,71.0
2008-07-24,91.0,75.0
2009-07-24,83.0,68.0
2010-07-24,96.0,80.0
2011-07-24,94.0,76.0
2012-07-24,90.0,76.0
