date,tmax,tmin
1981-10-10,72.0,39.0
1982-10-10,78.0,55.0
1983-10-10,66.0,56.0
1984-10-10,68.0,53.0
1985-10-10,77.0,52.0
1986-10-10,68.0,45.0
1987-10-10,76.0,58.0
1988-10-10,79.0,60.0
1989-10-10,71.0,54.0
1990-10-10,62.0,48.0
1991-10-10,74.0,55.0
1992-10-10,67.0,52.0
1993-10-10,71.0,44.0
1994-10-10,67.0,59.0
1995-10-10,66.0,53.0
1996-10-10,67.0,49.0
1997-10-10,71.0,52.0
1998-10-10,71.0,58.0
1999-10-10,66.0,55.0
2000-10-10,62.0,54.0
2001-10-10,71.0,56.0
2002-10-10,65.0,50.0
2003-10-10,67.0,54.0
2004-10-10,69.0,55.0
2005-10-10,76.0,50.0
2006-10-10,78.0,56.0
2007-10-10,67.0,52.0
2008-10-10,70.0,44.0
2009-10-10,69.0,50.0
2010-10-10,66.0,58.0
2011-10-10,69.0,60.0
2012-10-10,71.0,51.0
