date,tmax,tmin
1981-12-05,40.0,18.0
1982-12-05,31.0,16.0
1983-12-05,54.0,34.0
1984-12-05,42.0,20.0
1985-12-05,30.0,21.0
1986-12-05,48.0,27.0
1987-12-05,36.0,26.0
1988-12-05,43.0,21.0
1989-12-05,51.0,29.0
1990-12-05,49.0,23.0
1991-12-05,52.0,26.0
1992-12-05,38.0,34.0
1993-12-05,42.0,28.0
1994-12-05,41.0,24.0
1995-12-05,36.0,26.0
1996-12-05,32.0,18.0
1997-12-05,35.0,23.0
1998-12-05,35.0,19.0
1999-12-05,43.0,21.0
2000-12-05,43.0,25.0
2001-12-05,34.0,14.0
2002-12-05,42.0,25.0
2003-12-05,41.0,28.0
2004-12-05,45.0,30.0
2005-12-05,32.0,21.0
2006-12-05,38.0,26.0
2007-12-05,41.0,25.0
2008-12-05,28.0,14.0
2009-12-05,39.0,21.0
2010-12-05,56.0,28.0
2011-12-05,33.0,27.0
2012-12-05,35.0,25.0
