date,tmax,tmin
1981-03-15,63.0,33.0
1982-03-15,55.0,41.0
1983-03-15,51.0,33.0
1984-03-15,49.0,33.0
1985-03-15,51.0,25.0
1986-03-15,49.0,28.0
1987-03-15,51.0,28.0
1988-03-15,46.0,29.0
1989-03-15,57.0,35.0
1990-03-15,55.0,36.0
1991-03-15,40.0,29.0
1992-03-15,51.0,43.0
1993-03-15,57.0,39.0
1994-03-15,55.0,28.0
1995-03-15,53.0,43.0
1996-03-15,51.0,37.0
1997-03-15,51.0,40.0
1998-03-15,55.0,29.0
1999-03-15,42.0,35.0
2000-03-15,58.0,33.0
2001-03-15,60.0,31.0
2002-03-15,68.0,40.0
2003-03-15,41.0,34.0
2004-03-15,53.0,39.0
2005-03-15,59.0,31.0
2006-03-15,64.0,39.0
2007-03-15,52.0,34.0
2008-03-15,64.0,44.0
2009-03-15,68.0,37.0
2010-03-15,42.0,31.0
2011-03-15,51.0,34.0
2012-03-15,51.0,27.0
