date,tmax,tmin
1981-12-26,36.0,18.0
1982-12-26,42.0,22.0
1983-12-26,36.0,21.0
1984-12-26,29.0,15.0
1985-12-26,39.0,17.0
1986-12-26,25.0,14.0
1987-12-26,49.0,27.0
1988-12-26,39.0,20.0
1989-12-26,31.0,17.0
1990-12-26,31.0,15.0
1991-12-26,27.0,19.0
1992-12-26,40.0,21.0
1993-12-26,44.0,30.0
1994-12-26,39.0,21.0
1995-12-26,35.0,17.0
1996-12-26,40.0,26.0
1997-12-26,46.0,26.0
1998-12-26,42.0,22.0
1999-12-26,36.0,18.0
2000-12-26,29.0,18.0
2001-12-26,37.0,17.0
2002-12-26,31.0,13.0
2003-12-26,41.0,24.0
2004-12-26,33.0,19.0
2005-12-26,35.0,21.0
2006-12-26,42.0,27.0
2007-12-26,38.0,25.0
2008-12-26,38.0,18.0
2009-12-26,23.0,10.0
2010-12-26,35.0,15.0
2011-12-26,36.0,19.0
2012-12-26,24.0,9.0
