date,tmax,tmin
1981-02-01,42.0,22.0
1982-02-01,39.0,20.0
1983-02-01,35.0,29.0
1984-02-01,30.0,16.0
1985-02-01,52.0,33.0
1986-02-01,31.0,13.0
1987-02-01,41.0,23.0
1988-02-01,40.0,15.0
1989-02-01,39.0,28.0
1990-02-01,33.0,7.0
1991-02-01,45.0,25.0
1992-02-01,34.0,19.0
1993-02-01,44.0,22.0
1994-02-01,41.0,26.0
1995-02-01,38.0,18.0
1996-02-01,36.0,21.0
1997-02-01,36.0,24.0
1998-02-01,39.0,24.0
1999-02-01,45.0,21.0
2000-02-01,27.0,11.0
2001-02-01,35.0,19.0
2002-02-01,49.0,33.0
2003-02-01,36.0,18.0
2004-02-01,36.0,26.0
2005-02-01,31.0,17.0
2006-02-01,35.0,26.0
2007-02-01,40.0,17.0
2008-02-01,38.0,24.0
2009-02-01,39.0,23.0
2010-02-01,34.0,24.0
2011-02-01,49.0,20.0
2012-02-01,27.0,11.0
