date,tmax,tmin
1981-11-24,41.0,28.0
1982-11-24,41.0,26.0
1983-11-24,48.0,28.0
1984-11-24,41.0,30.0
1985-11-24,45.0,30.0
1986-11-24,36.0,29.0
1987-11-24,44.0,32.0
1988-11-24,44.0,25.0
1989-11-24,56.0,32.0
1990-11-24,55.0,36.0
1991-11-24,41.0,26.0
1992-11-24,53.0,31.0
1993-11-24,33.0,15.0
1994-11-24,53.0,30.0
1995-11-24,55.0,36.0
1996-11-24,51.0,32.0
1997-11-24,41.0,39.0
1998-11-24,36.0,17.0
1999-11-24,52.0,35.0
2000-11-24,40.0,35.0
2001-11-24,54.0,40.0
2002-11-24,45.0,30.0
2003-11-24,45.0,27.0
2004-11-24,44.0,39.0
2005-11-24,58.0,32.0
2006-11-24,42.0,30.0
2007-11-24,47.0,32.0
2008-11-24,52.0,36.0
2009-11-24,53.0,35.0
2010-11-24,46.0,30.0
2011-11-24,36.0,24.0
2012-11-24,44.0,23.0
