date,tmax,tmin
1981-10-25,60.0,31.0
1982-10-25,63.0,35.0
1983-10-25,55.0,49.0
1984-10-25,59.0,49.0
1985-10-25,61.0,52.0
1986-10-25,59.0,46.0
1987-10-25,66.0,36.0
1988-10-25,68.0,44.0
1989-10-25,71.0,47.0
1990-10-25,71.0,39.0
1991-10-25,67.0,49.0
1992-10-25,61.0,42.0
1993-10-25,56.0,43.0
1994-10-25,65.0,48.0
1995-10-25,73.0,44.0
1996-10-25,58.0,45.0
1997-10-25,56.0,38.0
1998-10-25,51.0,49.0
1999-10-25,64.0,47.0
2000-10-25,54.0,37.0
2001-10-25,62.0,52.0
2002-10-25,47.0,38.0
2003-10-25,68.0,43.0
2004-10-25,53.0,44.0
2005-10-25,64.0,48.0
2006-10-25,64.0,43.0
2007-10-25,67.0,45.0
2008-10-25,62.0,38.0
2009-10-25,69.0,52.0
2010-10-25,57.0,39.0
2011-10-25,60.0,34.0
2012-10-25,68.0,46.0
