date,tmax,tmin
1981-11-18,43.0,24.0
1982-11-18,50.0,36.0
1983-11-18,52.0,24.0
1984-11-18,38.0,29.0
1985-11-18,43.0,25.0
1986-11-18,50.0,29.0
1987-11-18,54.0,40.0
1988-11-18,51.0,31.0
1989-11-18,43.0,21.0
1990-11-18,51.0,37.0
1991-11-18,56.0,31.0
1992-11-18,43.0,33.0
1993-11-18,33.0,20.0
1994-11-18,61.0,29.0
1995-11-18,53.0,42.0
1996-11-18,54.0,36.0
1997-11-18,46.0,27.0
1998-11-18,33.0,18.0
1999-11-18,54.0,29.0
2000-11-18,41.0,29.0
2001-11-18,61.0,33.0
2002-11-18,37.0,22.0
2003-11-18,47.0,38.0
2004-11-18,60.0,34.0
2005-11-18,46.0,34.0
2006-11-18,55.0,35.0
2007-11-18,44.0,28.0
2008-11-18,40.0,26.0
2009-11-18,42.0,20.0
2010-11-18,50.0,34.0
2011-11-18,60.0,42.0
2012-11-18,49.0,32.0
