date,tmax,tmin
1981-09-13,78.0,53.0
1982-09-13,81.0,65.0
1983-09-13,85.0,65.0
1984-09-13,82.0,56.0
1985-09-13,68.0,58.0
1986-09-13,81.0,55.0
1987-09-13,84.0,68.0
1988-09-13,84.0,63.0
1989-09-13,84.0,63.0
1990-09-13,77.0,64.0
1991-09-13,77.0,57.0
1992-09-13,83.0,58.0
1993-09-13,85.0,57.0
1994-09-13,82.0,56.0
1995-09-13,80.0,58.0
1996-09-13,71.0,64.0
1997-09-13,71.0,51.0
1998-09-13,81.0,69.0
1999-09-13,80.0,62.0
2000-09-13,85.0,60.0
2001-09-13,84.0,63.0
2002-09-13,80.0,56.0
2003-09-13,93.0,65.0
2004-09-13,85.0,61.0
2005-09-13,79.0,67.0
2006-09-13,85.0,60.0
2007-09-13,78.0,66.0
2008-09-13,81.0,67.0
2009-09-13,84.0,60.0
2010-09-13,90.0,69.0
2011-09-13,71.0,66.0
2012-09-13,78.0,54.0
