date,tmax,tmin
1981-04-16,77.0,40.0
1982-04-16,68.0,41.0
1983-04-16,73.0,41.0
1984-04-16,58.0,51.0
1985-04-16,65.0,45.0
1986-04-16,73.0,41.0
1987-04-16,68.0,47.0
1988-04-16,81.0,53.0
1989-04-16,71.0,41.0
1990-04-16,68.0,44.0
1991-04-16,69.0,47.0
1992-04-16,68.0,43.0
1993-04-16,80.0,47.0
1994-04-16,82.0,56.0
1995-04-16,74.0,44.0
1996-04-16,76.0,49.0
1997-04-16,64.0,47.0
1998-04-16,69.0,52.0
1999-04-16,74.0,47.0
2000-04-16,72.0,45.0
2001-04-16,85.0,51.0
2002-04-16,63.0,52.0
2003-04-16,77.0,60.0
2004-04-16,84.0,57.0
2005-04-16,83.0,48.0
2006-04-16,57.0,40.0
2007-04-16,66.0,45.0
2008-04-16,80.0,56.0
2009-04-16,65.0,43.0
2010-04-16,60.0,40.0
2011-04-16,74.0,48.0
2012-04-16,71.0,49.0
