date,tmax,tmin
1981-07-06,90.0,71.0
1982-07-06,85.0,68.0
1983-07-06,91.0,71.0
1984-07-06,89.0,72.0
1985-07-06,89.0,73.0
1986-07-06,82.0,71.0
1987-07-06,85.0,70.0
1988-07-06,82.0,65.0
1989-07-06,78.0,70.0
1990-07-06,84.0,71.0
1991-07-06,86.0,69.0
1992-07-06,99.0,74.0
1993-07-06,89.0,70.0
1994-07-06,90.0,72.0
1995-07-06,93.0,74.0
1996-07-06,95.0,66.0
1997-07-06,95.0,69.0
1998-07-06,91.0,72.0
1999-07-06,79.0,70.0
2000-07-06,90.0,75.0
2001-07-06,94.0,71.0
2002-07-06,93.0,78.0
2003-07-06,85.0,66.0
2004-07-06,95.0,71.0
2005-07-06,101.0,78.0
2006-07-06,91.0,71.0
2007-07-06,92.0,79.0
2008-07-06,94.0,69.0
2009-07-06,84.0,71.0
2010-07-06,103.0,78.0
2011-07-06,90.0,77.0
2012-07-06,79.0,71.0
