date,tmax,tmin
1981-06-21,89.0,67.0
1982-06-21,76.0,56.0
1983-06-21,94.0,68.0
1984-06-21,74.0,66.0
1985-06-21,93.0,66.0
1986-06-21,81.0,65.0
1987-06-21,85.0,70.0
1988-06-21,82.0,67.0
1989-06-21,92.0,71.0
1990-06-21,87.0,67.0
1991-06-21,93.0,70.0
1992-06-21,80.0,57.0
1993-06-21,88.0,78.0
1994-06-21,90.0,78.0
1995-06-21,83.0,69.0
1996-06-21,91.0,70.0
1997-06-21,99.0,68.0
1998-06-21,91.0,72.0
1999-06-21,74.0,65.0
2000-06-21,96.0,72.0
2001-06-21,85.0,66.0
2002-06-21,82.0,67.0
2003-06-21,90.0,73.0
2004-06-21,87.0,69.0
2005-06-21,102.0,73.0
2006-06-21,95.0,68.0
2007-06-21,92.0,70.0
2008-06-21,93.0,72.0
2009-06-21,91.0,72.0
2010-06-21,87.0,69.0
2011-06-21,96.0,77.0
2012-06-21,90.0,72.0
