date,tmax,tmin
1981-02-03,36.0,15.0
1982-02-03,34.0,24.0
1983-02-03,43.0,24.0
1984-02-03,31.0,5.0
1985-02-03,53.0,24.0
1986-02-03,32.0,13.0
1987-02-03,35.0,15.0
1988-02-03,28.0,10.0
1989-02-03,43.0,19.0
1990-02-03,34.0,20.0
1991-02-03,39.0,22.0
1992-02-03,39.0,26.0
1993-02-03,48.0,22.0
1994-02-03,44.0,25.0
1995-02-03,33.0,22.0
1996-02-03,45.0,17.0
1997-02-03,33.0,19.0
1998-02-03,41.0,31.0
1999-02-03,40.0,24.0
2000-02-03,38.0,14.0
2001-02-03,31.0,15.0
2002-02-03,49.0,22.0
2003-02-03,34.0,18.0
2004-02-03,38.0,19.0
2005-02-03,34.0,17.0
2006-02-03,24.0,6.0
2007-02-03,55.0,26.0
2008-02-03,37.0,21.0
2009-02-03,39.0,23.0
2010-02-03,35.0,16.0
2011-02-03,44.0,27.0
2012-02-03,38.0,11.0
