date,tmax,tmin
1981-01-14,29.0,21.0
1982-01-14,29.0,9.0
1983-01-14,37.0,21.0
1984-01-14,37.0,22.0
1985-01-14,33.0,10.0
1986-01-14,44.0,13.0
1987-01-14,31.0,9.0
1988-01-14,42.0,25.0
1989-01-14,31.0,18.0
1990-01-14,33.0,17.0
1991-01-14,42.0,17.0
1992-01-14,38.0,18.0
1993-01-14,29.0,17.0
1994-01-14,30.0,22.0
1995-01-14,38.0,18.0
1996-01-14,36.0,26.0
1997-01-14,32.0,17.0
1998-01-14,27.0,17.0
1999-01-14,29.0,18.0
2000-01-14,29.0,10.0
2001-01-14,20.0,8.0
2002-01-14,42.0,26.0
2003-01-14,39.0,23.0
2004-01-14,36.0,23.0
2005-01-14,36.0,25.0
2006-01-14,36.0,20.0
2007-01-14,38.0,20.0
2008-01-14,23.0,16.0
2009-01-14,33.0,15.0
2010-01-14,32.0,8.0
2011-01-14,33.0,23.0
2012-01-14,43.0,19.0
