date,tmax,tmin
1981-06-05,93.0,65.0
1982-06-05,84.0,61.0
1983-06-05,82.0,67.0
1984-06-05,82.0,68.0
1985-06-05,88.0,62.0
1986-06-05,89.0,63.0
1987-06-05,87.0,54.0
1988-06-05,82.0,69.0
1989-06-05,89.0,67.0
1990-06-05,84.0,62.0
1991-06-05,81.0,71.0
1992-06-05,84.0,53.0
1993-06-05,87.0,62.0
1994-06-05,85.0,71.0
1995-06-05,93.0,68.0
1996-06-05,90.0,67.0
1997-06-05,76.0,58.0
1998-06-05,81.0,53.0
1999-06-05,85.0,57.0
2000-06-05,93.0,64.0
2001-06-05,95.0,73.0
2002-06-05,95.0,71.0
2003-06-05,88.0,69.0
2004-06-05,80.0,69.0
2005-06-05,82.0,62.0
2006-06-05,93.0,70.0
2007-06-05,97.0,65.0
2008-06-05,79.0,60.0
2009-06-05,89.0,67.0
2010-06-05,85.0,63.0
2011-06-05,91.0,64.0
