date,tmax,tmin
1981-11-22,43.0,36.0
1982-11-22,46.0,34.0
1983-11-22,52.0,30.0
1984-11-22,40.0,26.0
1985-11-22,52.0,39.0
1986-11-22,42.0,36.0
1987-11-22,41.0,37.0
1988-11-22,48.0,35.0
1989-11-22,57.0,29.0
1990-11-22,59.0,27.0
1991-11-22,54.0,30.0
1992-11-22,51.0,34.0
1993-11-22,30.0,15.0
1994-11-22,43.0,38.0
1995-11-22,48.0,33.0
1996-11-22,46.0,26.0
1997-11-22,44.0,36.0
1998-11-22,29.0,15.0
1999-11-22,51.0,31.0
2000-11-22,42.0,26.0
2001-11-22,55.0,33.0
2002-11-22,39.0,31.0
2003-11-22,42.0,25.0
2004-11-22,52.0,36.0
2005-11-22,57.0,30.0
2006-11-22,45.0,35.0
2007-11-22,44.0,37.0
2008-11-22,57.0,30.0
2009-11-22,45.0,24.0
2010-11-22,51.0,30.0
2011-11-22,52.0,36.0
