date,tmax,tmin
1981-10-21,57.0,43.0
1982-10-21,71.0,44.0
1983-10-21,73.0,41.0
1984-10-21,61.0,38.0
1985-10-21,58.0,41.0
1986-10-21,60.0,43.0
1987-10-21,57.0,40.0
1988-10-21,73.0,45.0
1989-10-21,78.0,42.0
1990-10-21,70.0,50.0
1991-10-21,64.0,40.0
1992-10-21,58.0,49.0
1993-10-21,64.0,38.0
1994-10-21,73.0,43.0
1995-10-21,70.0,47.0
1996-10-21,65.0,48.0
1997-10-21,75.0,54.0
1998-10-21,63.0,47.0
1999-10-21,76.0,41.0
2000-10-21,64.0,45.0
2001-10-21,70.0,48.0
2002-10-21,50.0,39.0
2003-10-21,69.0,42.0
2004-10-21,63.0,52.0
2005-10-21,60.0,48.0
2006-10-21,59.0,54.0
2007-10-21,71.0,41.0
2008-10-21,69.0,58.0
2009-10-21,68.0,41.0
2010-10-21,55.0,50.0
2011-10-21,69.0,52.0
