date,tmax,tmin
1981-03-07,58.0,30.0
1982-03-07,47.0,24.0
1983-03-07,49.0,32.0
1984-03-07,49.0,25.0
1985-03-07,35.0,21.0
1986-03-07,54.0,34.0
1987-03-07,46.0,24.0
1988-03-07,45.0,24.0
1989-03-07,46.0,26.0
1990-03-07,55.0,35.0
1991-03-07,40.0,31.0
1992-03-07,56.0,29.0
1993-03-07,49.0,32.0
1994-03-07,51.0,35.0
1995-03-07,66.0,35.0
1996-03-07,48.0,32.0
1997-03-07,58.0,37.0
1998-03-07,53.0,32.0
1999-03-07,43.0,27.0
2000-03-07,47.0,27.0
2001-03-07,39.0,27.0
2002-03-07,53.0,26.0
2003-03-07,53.0,29.0
2004-03-07,52.0,29.0
2005-03-07,53.0,35.0
2006-03-07,59.0,27.0
2007-03-07,46.0,26.0
2008-03-07,60.0,33.0
2009-03-07,55.0,30.0
2010-03-07,33.0,23.0
2011-03-07,52.0,36.0
