date,tmax,tmin
1981-05-27,79.0,59.0
1982-05-27,93.0,69.0
1983-05-27,86.0,64.0
1984-05-27,79.0,62.0
1985-05-27,73.0,61.0
1986-05-27,84.0,60.0
1987-05-27,83.0,65.0
1988-05-27,88.0,56.0
1989-05-27,86.0,68.0
1990-05-27,86.0,60.0
1991-05-27,77.0,58.0
1992-05-27,92.0,63.0
1993-05-27,91.0,62.0
1994-05-27,84.0,55.0
1995-05-27,77.0,63.0
1996-05-27,83.0,65.0
1997-05-27,66.0,59.0
1998-05-27,79.0,56.0
1999-05-27,76.0,57.0
2000-05-27,79.0,58.0
2001-05-27,92.0,61.0
2002-05-27,85.0,60.0
2003-05-27,86.0,63.0
2004-05-27,72.0,63.0
2005-05-27,76.0,63.0
2006-05-27,73.0,56.0
2007-05-27,86.0,70.0
2008-05-27,85.0,74.0
2009-05-27,86.0,66.0
2010-05-27,78.0,66.0
2011-05-27,83.0,58.0
