date,tmax,tmin
1981-08-15,81.0,72.0
1982-08-15,94.0,77.0
1983-08-15,87.0,76.0
1984-08-15,85.0,60.0
1985-08-15,83.0,73.0
1986-08-15,82.0,69.0
1987-08-15,82.0,66.0
1988-08-15,73.0,67.0
1989-08-15,88.0,73.0
1990-08-15,90.0,73.0
1991-08-15,90.0,72.0
1992-08-15,82.0,63.0
1993-08-15,83.0,71.0
1994-08-15,91.0,70.0
1995-08-15,85.0,69.0
1996-08-15,90.0,72.0
1997-08-15,86.0,73.0
1998-08-15,85.0,73.0
1999-08-15,92.0,73.0
2000-08-15,94.0,76.0
2001-08-15,87.0,72.0
2002-08-15,89.0,72.0
2003-08-15,79.0,71.0
2004-08-15,75.0,69.0
2005-08-15,95.0,78.0
2006-08-15,92.0,71.0
2007-08-15,93.0,73.0
2008-08-15,86.0,69.0
2009-08-15,92.0,78.0
2010-08-15,96.0,71.0
2011-08-15,81.0,76.0
