date,tmax,tmin
1981-03-14,56.0,43.0
1982-03-14,60.0,39.0
1983-03-14,58.0,28.0
1984-03-14,43.0,31.0
1985-03-14,53.0,26.0
1986-03-14,48.0,35.0
1987-03-14,50.0,23.0
1988-03-14,57.0,42.0
1989-03-14,57.0,45.0
1990-03-14,54.0,38.0
1991-03-14,42.0,24.0
1992-03-14,56.0,40.0
1993-03-14,48.0,43.0
1994-03-14,53.0,31.0
1995-03-14,59.0,43.0
1996-03-14,58.0,45.0
1997-03-14,51.0,39.0
1998-03-14,51.0,36.0
1999-03-14,45.0,41.0
2000-03-14,44.0,37.0
2001-03-14,57.0,44.0
2002-03-14,70.0,38.0
2003-03-14,45.0,30.0
2004-03-14,52.0,34.0
2005-03-14,55.0,27.0
2006-03-14,65.0,33.0
2007-03-14,54.0,35.0
2008-03-14,56.0,36.0
2009-03-14,56.0,27.0
2010-03-14,39.0,31.0
2011-03-14,51.0,41.0
