date,tmax,tmin
1981-09-20,83.0,65.0
1982-09-20,78.0,60.0
1983-09-20,76.0,58.0
1984-09-20,79.0,55.0
1985-09-20,76.0,55.0
1986-09-20,76.0,57.0
1987-09-20,85.0,70.0
1988-09-20,83.0,53.0
1989-09-20,62.0,51.0
1990-09-20,78.0,61.0
1991-09-20,77.0,59.0
1992-09-20,70.0,58.0
1993-09-20,85.0,56.0
1994-09-20,79.0,55.0
1995-09-20,78.0,64.0
1996-09-20,78.0,51.0
1997-09-20,71.0,47.0
1998-09-20,71.0,61.0
1999-09-20,70.0,52.0
2000-09-20,80.0,70.0
2001-09-20,80.0,53.0
2002-09-20,72.0,55.0
2003-09-20,78.0,57.0
2004-09-20,76.0,63.0
2005-09-20,71.0,66.0
2006-09-20,82.0,65.0
2007-09-20,82.0,62.0
2008-09-20,83.0,62.0
2009-09-20,71.0,56.0
2010-09-20,71.0,63.0
2011-09-20,79.0,51.0
