date,tmax,tmin
1981-08-11,87.0,67.0
1982-08-11,87.0,75.0
1983-08-11,87.0,72.0
1984-08-11,89.0,74.0
1985-08-11,89.0,72.0
1986-08-11,87.0,69.0
1987-08-11,85.0,70.0
1988-08-11,90.0,76.0
1989-08-11,89.0,72.0
1990-08-11,80.0,72.0
1991-08-11,90.0,71.0
1992-08-11,86.0,74.0
1993-08-11,90.0,75.0
1994-08-11,89.0,77.0
1995-08-11,82.0,74.0
1996-08-11,85.0,66.0
1997-08-11,89.0,66.0
1998-08-11,94.0,74.0
1999-08-11,90.0,69.0
2000-08-11,86.0,71.0
2001-08-11,92.0,71.0
2002-08-11,85.0,65.0
2003-08-11,96.0,68.0
2004-08-11,84.0,78.0
2005-08-11,90.0,79.0
2006-08-11,89.0,77.0
2007-08-11,91.0,70.0
2008-08-11,81.0,70.0
2009-08-11,98.0,74.0
2010-08-11,83.0,76.0
2011-08-11,93.0,77.0
