date,tmax,tmin
1981-02-02,41.0,27.0
1982-02-02,40.0,14.0
1983-02-02,37.0,21.0
1984-02-02,30.0,6.0
1985-02-02,50.0,31.0
1986-02-02,27.0,16.0
1987-02-02,38.0,26.0
1988-02-02,31.0,14.0
1989-02-02,42.0,22.0
1990-02-02,36.0,11.0
1991-02-02,39.0,20.0
1992-02-02,39.0,27.0
1993-02-02,43.0,22.0
1994-02-02,47.0,20.0
1995-02-02,35.0,21.0
1996-02-02,36.0,16.0
1997-02-02,36.0,18.0
1998-02-02,38.0,19.0
1999-02-02,35.0,28.0
2000-02-02,33.0,9.0
2001-02-02,38.0,16.0
2002-02-02,52.0,22.0
2003-02-02,42.0,20.0
2004-02-02,33.0,23.0
2005-02-02,35.0,18.0
2006-02-02,28.0,15.0
2007-02-02,46.0,21.0
2008-02-02,39.0,19.0
2009-02-02,49.0,23.0
2010-02-02,33.0,17.0
2011-02-02,44.0,20.0
