date,tmax,tmin
1981-06-06,101.0,66.0
1982-06-06,95.0,65.0
1983-06-06,86.0,57.0
1984-06-06,90.0,58.0
1985-06-06,85.0,67.0
1986-06-06,92.0,64.0
1987-06-06,77.0,51.0
1988-06-06,85.0,63.0
1989-06-06,81.0,65.0
1990-06-06,80.0,67.0
1991-06-06,83.0,64.0
1992-06-06,74.0,53.0
1993-06-06,90.0,64.0
1994-06-06,86.0,67.0
1995-06-06,85.0,68.0
1996-06-06,83.0,71.0
1997-06-06,77.0,57.0
1998-06-06,83.0,58.0
1999-06-06,83.0,71.0
2000-06-06,96.0,68.0
2001-06-06,92.0,71.0
2002-06-06,90.0,78.0
2003-06-06,96.0,60.0
2004-06-06,78.0,65.0
2005-06-06,81.0,59.0
2006-06-06,90.0,72.0
2007-06-06,96.0,73.0
2008-06-06,78.0,67.0
2009-06-06,76.0,65.0
2010-06-06,87.0,67.0
2011-06-06,86.0,73.0
