date,tmax,tmin
1981-07-10,93.0,71.0
1982-07-10,86.0,70.0
1983-07-10,91.0,70.0
1984-07-10,82.0,73.0
1985-07-10,88.0,71.0
1986-07-10,85.0,72.0
1987-07-10,88.0,70.0
1988-07-10,90.0,76.0
1989-07-10,90.0,74.0
1990-07-10,87.0,72.0
1991-07-10,89.0,64.0
1992-07-10,79.0,68.0
1993-07-10,85.0,68.0
1994-07-10,94.0,75.0
1995-07-10,95.0,78.0
1996-07-10,69.0,65.0
1997-07-10,95.0,75.0
1998-07-10,88.0,73.0
1999-07-10,85.0,72.0
2000-07-10,91.0,78.0
2001-07-10,98.0,69.0
2002-07-10,95.0,74.0
2003-07-10,91.0,70.0
2004-07-10,85.0,71.0
2005-07-10,90.0,69.0
2006-07-10,78.0,73.0
2007-07-10,94.0,67.0
2008-07-10,89.0,76.0
2009-07-10,92.0,74.0
2010-07-10,77.0,71.0
2011-07-10,93.0,76.0
