date,tmax,tmin
1981-09-16,82.0,58.0
1982-09-16,85.0,63.0
1983-09-16,83.0,65.0
1984-09-16,80.0,60.0
1985-09-16,72.0,60.0
1986-09-16,73.0,58.0
1987-09-16,75.0,58.0
1988-09-16,71.0,63.0
1989-09-16,72.0,61.0
1990-09-16,74.0,62.0
1991-09-16,71.0,57.0
1992-09-16,76.0,54.0
1993-09-16,80.0,69.0
1994-09-16,78.0,55.0
1995-09-16,83.0,56.0
1996-09-16,79.0,64.0
1997-09-16,70.0,59.0
1998-09-16,81.0,50.0
1999-09-16,60.0,56.0
2000-09-16,94.0,62.0
2001-09-16,76.0,68.0
2002-09-16,81.0,53.0
2003-09-16,82.0,67.0
2004-09-16,76.0,62.0
2005-09-16,77.0,62.0
2006-09-16,82.0,63.0
2007-09-16,78.0,64.0
2008-09-16,84.0,65.0
2009-09-16,81.0,65.0
2010-09-16,81.0,73.0
2011-09-16,77.0,65.0
