date,tmax,tmin
1981-03-19,70.0,46.0
1982-03-19,48.0,40.0
1983-03-19,54.0,40.0
1984-03-19,51.0,26.0
1985-03-19,55.0,32.0
1986-03-19,56.0,37.0
1987-03-19,50.0,38.0
1988-03-19,47.0,29.0
1989-03-19,54.0,38.0
1990-03-19,67.0,43.0
1991-03-19,56.0,44.0
1992-03-19,49.0,33.0
1993-03-19,55.0,33.0
1994-03-19,56.0,38.0
1995-03-19,60.0,35.0
1996-03-19,52.0,32.0
1997-03-19,56.0,34.0
1998-03-19,38.0,28.0
1999-03-19,42.0,35.0
2000-03-19,55.0,31.0
2001-03-19,74.0,45.0
2002-03-19,59.0,42.0
2003-03-19,58.0,42.0
2004-03-19,58.0,37.0
2005-03-19,57.0,29.0
2006-03-19,61.0,33.0
2007-03-19,41.0,36.0
2008-03-19,55.0,34.0
2009-03-19,75.0,49.0
2010-03-19,47.0,38.0
2011-03-19,58.0,36.0
