date,tmax,tmin
1981-04-08,65.0,53.0
1982-04-08,60.0,48.0
1983-04-08,59.0,45.0
1984-04-08,58.0,44.0
1985-04-08,66.0,49.0
1986-04-08,78.0,51.0
1987-04-08,81.0,53.0
1988-04-08,69.0,38.0
1989-04-08,80.0,45.0
1990-04-08,76.0,46.0
1991-04-08,68.0,39.0
1992-04-08,67.0,44.0
1993-04-08,54.0,32.0
1994-04-08,63.0,49.0
1995-04-08,66.0,52.0
1996-04-08,65.0,44.0
1997-04-08,59.0,46.0
1998-04-08,76.0,51.0
1999-04-08,61.0,45.0
2000-04-08,66.0,39.0
2001-04-08,69.0,51.0
2002-04-08,52.0,40.0
2003-04-08,62.0,48.0
2004-04-08,84.0,48.0
2005-04-08,66.0,44.0
2006-04-08,62.0,42.0
2007-04-08,68.0,49.0
2008-04-08,61.0,53.0
2009-04-08,80.0,53.0
2010-04-08,71.0,49.0
2011-04-08,67.0,39.0
