date,tmax,tmin
1981-03-04,51.0,28.0
1982-03-04,51.0,39.0
1983-03-04,53.0,29.0
1984-03-04,42.0,24.0
1985-03-04,38.0,26.0
1986-03-04,67.0,33.0
1987-03-04,60.0,31.0
1988-03-04,41.0,26.0
1989-03-04,44.0,28.0
1990-03-04,50.0,36.0
1991-03-04,57.0,29.0
1992-03-04,43.0,28.0
1993-03-04,53.0,31.0
1994-03-04,42.0,25.0
1995-03-04,58.0,28.0
1996-03-04,56.0,34.0
1997-03-04,66.0,32.0
1998-03-04,46.0,36.0
1999-03-04,51.0,40.0
2000-03-04,54.0,42.0
2001-03-04,48.0,26.0
2002-03-04,51.0,28.0
2003-03-04,40.0,28.0
2004-03-04,47.0,28.0
2005-03-04,38.0,26.0
2006-03-04,63.0,32.0
2007-03-04,42.0,33.0
2008-03-04,57.0,32.0
2009-03-04,40.0,29.0
2010-03-04,45.0,33.0
2011-03-04,54.0,26.0
