date,tmax,tmin
1981-02-12,56.0,26.0
1982-02-12,51.0,23.0
1983-02-12,32.0,12.0
1984-02-12,40.0,15.0
1985-02-12,40.0,22.0
1986-02-12,44.0,22.0
1987-02-12,37.0,27.0
1988-02-12,49.0,25.0
1989-02-12,51.0,35.0
1990-02-12,46.0,22.0
1991-02-12,47.0,22.0
1992-02-12,38.0,24.0
1993-02-12,51.0,29.0
1994-02-12,40.0,22.0
1995-02-12,47.0,30.0
1996-02-12,56.0,25.0
1997-02-12,45.0,20.0
1998-02-12,52.0,35.0
1999-02-12,45.0,25.0
2000-02-12,44.0,23.0
2001-02-12,32.0,16.0
2002-02-12,51.0,26.0
2003-02-12,42.0,15.0
2004-02-12,52.0,24.0
2005-02-12,38.0,16.0
2006-02-12,39.0,22.0
2007-02-12,53.0,29.0
2008-02-12,36.0,15.0
2009-02-12,44.0,36.0
2010-02-12,33.0,18.0
2011-02-12,27.0,15.0
