date,tmax,tmin
1981-05-09,74.0,59.0
1982-05-09,79.0,62.0
1983-05-09,77.0,58.0
1984-05-09,79.0,56.0
1985-05-09,77.0,63.0
1986-05-09,74.0,51.0
1987-05-09,79.0,62.0
1988-05-09,73.0,56.0
1989-05-09,70.0,55.0
1990-05-09,85.0,69.0
1991-05-09,82.0,54.0
1992-05-09,67.0,54.0
1993-05-09,81.0,54.0
1994-05-09,80.0,65.0
1995-05-09,75.0,60.0
1996-05-09,77.0,51.0
1997-05-09,82.0,52.0
1998-05-09,75.0,56.0
1999-05-09,73.0,55.0
2000-05-09,66.0,53.0
2001-05-09,82.0,48.0
2002-05-09,82.0,58.0
2003-05-09,77.0,51.0
2004-05-09,71.0,57.0
2005-05-09,71.0,54.0
2006-05-09,68.0,60.0
2007-05-09,78.0,54.0
2008-05-09,70.0,56.0
2009-05-09,83.0,64.0
2010-05-09,72.0,60.0
2011-05-09,78.0,53.0
