date,tmax,tmin
1981-02-18,41.0,28.0
1982-02-18,40.0,31.0
1983-02-18,27.0,9.0
1984-02-18,42.0,24.0
1985-02-18,22.0,11.0
1986-02-18,32.0,24.0
1987-02-18,32.0,15.0
1988-02-18,44.0,20.0
1989-02-18,43.0,25.0
1990-02-18,41.0,32.0
1991-02-18,38.0,24.0
1992-02-18,41.0,24.0
1993-02-18,51.0,32.0
1994-02-18,40.0,26.0
1995-02-18,51.0,31.0
1996-02-18,36.0,20.0
1997-02-18,49.0,27.0
1998-02-18,40.0,23.0
1999-02-18,43.0,27.0
2000-02-18,32.0,18.0
2001-02-18,50.0,24.0
2002-02-18,44.0,22.0
2003-02-18,56.0,26.0
2004-02-18,57.0,30.0
2005-02-18,27.0,21.0
2006-02-18,51.0,21.0
2007-02-18,47.0,27.0
2008-02-18,40.0,24.0
2009-02-18,30.0,25.0
2010-02-18,41.0,17.0
2011-02-18,46.0,20.0
