STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/2/20,0,",,s",,,28,",,s",47,",,s",17,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/2/21,0,",,s",,,31,",,s",51,",,s",17,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/2/22,0,",,s",,,35,",,s",51,",,s",19,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/2/23,0,",,s",,,34,",,s",54,",,s",18,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/2/24,0,"T,,s",,,38,",,s",45,",,s",31,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/2/25,0.01,",,s",,,28,",,s",38,",,s",24,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/2/26,0.01,",,s",,,28,",,s",40,",,s",22,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/2/27,0,",,s",,,28,",,s",47,",,s",15,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/2/28,0,",,s",,,31,",,s",48,",,s",20,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/2/29,0,"T,,s",,,26,",,s",38,",,s",22,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/1,0,"T,,s",,,31,",,s",50,",,s",20,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/2,0.09,",,s",,,30,",,s",40,",,s",25,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/3,0,",,s",,,32,",,s",43,",,s",25,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/4,0,",,s",,,33,",,s",51,",,s",20,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/5,0,",,s",,,35,",,s",52,",,s",20,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/6,0,",,s",,,38,",,s",55,",,s",22,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/7,0,"T,,s",,,37,",,s",51,",,s",27,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/8,0.04,",,s",,,33,",,s",43,",,s",27,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/9,0,",,s",,,36,",,s",45,",,s",27,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/10,0,",,s",,,41,",,s",57,",,s",30,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/11,0,"T,,s",,,34,",,s",51,",,s",30,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/12,0.07,",,s",,,32,",,s",40,",,s",25,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/13,0.01,",,s",,,28,",,s",35,",,s",24,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/14,0,"T,,s",,,31,",,s",51,",,s",18,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/15,0,",,s",,,38,",,s",59,",,s",24,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/16,0,",,s",,,37,",,s",47,",,s",27,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/17,0.01,",,s",,,40,",,s",54,",,s",29,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/18,0,",,s",,,41,",,s",60,",,s",25,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/19,0,",,s",,,36,",,s",52,",,s",31,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/20,0,",,s",,,35,",,s",52,",,s",21,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/21,0,",,s",,,44,",,s",54,",,s",36,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/22,0,",,s",,,36,",,s",53,",,s",24,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/23,0,",,s",,,34,",,s",43,",,s",28,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/24,0,",,s",,,37,",,s",59,",,s",26,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/25,0,"T,,s",,,36,",,s",44,",,s",30,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/26,0,",,s",,,41,",,s",54,",,s",32,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/27,0,",,s",,,40,",,s",49,",,s",30,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/28,0,",,s",,,45,",,s",66,",,s",27,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/29,0,",,s",,,42,",,s",61,",,s",36,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/30,0.02,",,s",,,27,",,s",37,",,s",22,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/3/31,0,",,s",,,30,",,s",46,",,s",18,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/1,0,",,s",,,41,",,s",62,",,s",22,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/2,0,",,s",,,47,",,s",69,",,s",27,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/3,0,",,s",,,51,",,s",67,",,s",36,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/4,0,",,s",,,47,",,s",59,",,s",39,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/5,0.01,",,s",,,39,",,s",54,",,s",30,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/6,0,",,s",,,47,",,s",71,",,s",29,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/7,0,",,s",,,51,",,s",63,",,s",39,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/8,0,",,s",,,48,",,s",60,",,s",38,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/9,0,",,s",,,49,",,s",63,",,s",39,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/10,0,",,s",,,51,",,s",69,",,s",36,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/11,0,",,s",,,50,",,s",65,",,s",36,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/12,0.34,",,s",,,34,",,s",60,",,s",27,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/13,0.02,",,s",,,29,",,s",43,",,s",18,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/14,0,",,s",,,41,",,s",52,",,s",30,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/15,0,",,s",,,44,",,s",58,",,s",32,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/16,0,",,s",,,49,",,s",69,",,s",31,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/17,0,",,s",,,53,",,s",72,",,s",34,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/18,0,",,s",,,56,",,s",74,",,s",36,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/19,0,",,s",,,50,",,s",69,",,s",41,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/20,0,",,s",,,49,",,s",60,",,s",38,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/4/21,0,",,s",,,52,",,s",66,",,s",39,",,s"
